Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
Q3, Hard,16.92269,(c) pancreas,False,Avatar,0,,
Q4, Hard,1.090538,(c) spinal cord,False,Avatar,0,,
Q1, Easy,16.32788,(a) left atrium,False,GPT Canvas,0,,
Q2, Easy,1.486893,(a) left lung,False,GPT Canvas,0,,
Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
Q3, Hard,3.582551,(a) gallbladder,True,avatar,0,,
Q4, Hard,0.4590464,(a) brainstem,False,avatar,0,,
Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
Q1, Easy,3.118577,(a) left atrium,False,both,0,,
Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
Question,Difficulty,Time Spent,Option Chose,Correct?,GPT Medium,Number of Interactions,GPT Question(s) (separated by ; '-' = comma),GPT Response(s)
